match_id,round_num,phase,team_1_id,team_1,team_2_id,team_2,match_date_utc,start_time_utc,is_started,is_finished,is_cancelled,is_awarded,status,venue,host_nation,latitude,longitude
4667780,2,group phase,8570,Germany,6709,Ivory Coast,2026-06-20,20:00:00.000000000,true,true,false,false,full-time,Toronto Stadium,Canada,43.633205971,-79.41855669
4667779,2,group phase,6707,Ecuador,287981,Curacao,2026-06-21,00:00:00.000000000,true,true,false,false,full-time,Kansas City Stadium,United States,39.048931391,-94.483993649
4667785,2,group phase,6719,Tunisia,6715,Japan,2026-06-21,04:00:00.000000000,true,true,false,false,full-time,Monterrey Stadium,Mexico,25.669182471,-100.244469647
4667801,2,group phase,6720,Spain,7795,Saudi Arabia,2026-06-21,16:00:00.000000000,true,true,false,false,full-time,Atlanta Stadium,United States,33.755406175,-84.401075263
4667793,2,group phase,8263,Belgium,6711,Iran,2026-06-21,19:00:00.000000000,true,true,false,false,full-time,Los Angeles Stadium,United States,33.953425,-118.338948
4667800,2,group phase,5796,Uruguay,5888,Cape Verde,2026-06-21,22:00:00.000000000,true,true,false,false,full-time,Miami Stadium,United States,25.957919269,-80.23884058
4667792,2,group phase,5820,New Zealand,10255,Egypt,2026-06-22,01:00:00.000000000,true,true,false,false,full-time,BC Place Vancouver,Canada,49.276722797,-123.112031221
4667815,2,group phase,6706,Argentina,8255,Austria,2026-06-22,17:00:00.000000000,true,true,false,false,full-time,Dallas Stadium,United States,32.747823108,-97.092865705
4667807,2,group phase,6723,France,5819,Iraq,2026-06-22,21:00:00.000000000,true,true,false,false,full-time,Philadelphia Stadium,United States,39.9008024,-75.1674968
4667806,2,group phase,8492,Norway,6395,Senegal,2026-06-23,00:00:00.000000000,true,true,false,false,full-time,New York New Jersey Stadium,United States,40.813553451,-74.074367881
4667814,2,group phase,5816,Jordan,6317,Algeria,2026-06-23,03:00:00.000000000,true,true,false,false,full-time,San Francisco Bay Area Stadium,United States,37.403227787,-121.969776469
4667822,2,group phase,8361,Portugal,8700,Uzbekistan,2026-06-23,17:00:00.000000000,true,true,false,false,full-time,Houston Stadium,United States,29.684827801,-95.410938263
4667828,2,group phase,8491,England,6714,Ghana,2026-06-23,20:00:00.000000000,true,true,false,false,full-time,Boston Stadium,United States,42.091296172,-71.264045835
4667827,2,group phase,5922,Panama,10155,Croatia,2026-06-23,23:00:00.000000000,true,true,false,false,full-time,Toronto Stadium,Canada,43.633205971,-79.41855669
4667821,2,group phase,8258,Colombia,6321,DR Congo,2026-06-24,02:00:00.000000000,true,true,false,false,full-time,Guadalajara Stadium,Mexico,20.681774815,-103.462629318
