player_id,player_name,country,country_id,birth_date_utc,primary_position,club_id,club_name,height_cm,preferred_foot,transfer_value_eur
959597,Luka Sucic,Croatia,10155,2002-09-08,attacking midfielder,8560.0,Real Sociedad,185.0,left,12302458.0
1001335,Nabil Emad Dunga,Egypt,10255,1996-04-06,central midfielder,1523707.0,Al Najma,179.0,right,550618.0
1022128,Hamdi Fathy,Egypt,10255,1994-09-29,center back,101901.0,Al-Wakrah,180.0,right,927834.0
1179331,Mohamed Abdelmonem,Egypt,10255,1999-02-01,center back,9831.0,Nice,183.0,right,1880514.0
1228546,Mostafa Ahmed Shobeir,Egypt,10255,2000-03-17,keeper,101745.0,Al Ahly SC,185.0,right,
1272436,Ibrahim Adel,Egypt,10255,2001-04-23,left winger,10202.0,Nordsjælland,178.0,right,1962650.0
1291391,Mahmoud Saber,Egypt,10255,2001-07-30,central midfielder,517894.0,Pyramids FC,170.0,right,869864.0
1384425,Hossam Abdelmaguid,Egypt,10255,2001-04-30,center back,80591.0,Zamalek SC,193.0,right,1416047.0
1418549,Marwan Ateya,Egypt,10255,1998-08-12,defensive midfielder,101745.0,Al Ahly SC,170.0,right,1900212.0
1426403,Mostafa Ziko,Egypt,10255,1997-04-27,left winger,517894.0,Pyramids FC,179.0,right,
1689101,Tarek Alaa,Egypt,10255,2002-01-05,right back,517894.0,Pyramids FC,178.0,right,403035.0
1689371,Mohamed Alaa,Egypt,10255,1999-09-01,keeper,178268.0,El Gouna FC,188.0,right,249585.0
1708842,Hamza Abdelkarim,Egypt,10255,2008-01-01,striker,161774.0,Barca Atletic,182.0,both,
292462,Mohamed Salah,Egypt,10255,1992-06-15,right winger,,Unknown,175.0,left,35103349.0
505872,Ramy Rabia,Egypt,10255,1993-05-20,center back,102117.0,Al-Ain,183.0,right,488977.0
513492,Trezeguet,Egypt,10255,1994-10-01,left winger,101745.0,Al Ahly SC,181.0,right,1900324.0
532766,Zizo,Egypt,10255,1996-01-10,right winger,101745.0,Al Ahly SC,180.0,right,2243623.0
533403,Yasser Ibrahim,Egypt,10255,1993-02-10,center back,101745.0,Al Ahly SC,185.0,right,264408.0
546550,Mohamed El Shenawy,Egypt,10255,1988-12-18,keeper,101745.0,Al Ahly SC,191.0,right,350095.0
560416,Karim Hafez,Egypt,10255,1996-03-12,left back,517894.0,Pyramids FC,175.0,left,324191.0
653688,Al Mahdi Soliman,Egypt,10255,1987-06-08,keeper,80591.0,Zamalek SC,189.0,right,263284.0
660213,Mohamed Hany,Egypt,10255,1996-02-02,right back,101745.0,Al Ahly SC,180.0,right,958997.0
839204,Omar Marmoush,Egypt,10255,1999-02-07,striker,8456.0,Manchester City,183.0,right,54951970.0
849334,Ahmed Abou El Fotouh,Egypt,10255,1998-03-22,left back,80591.0,Zamalek SC,175.0,left,672214.0
906944,Mohanad Lasheen,Egypt,10255,1996-05-29,defensive midfielder,517894.0,Pyramids FC,179.0,right,1594194.0
971787,Haissem Hassan,Egypt,10255,2002-02-08,right winger,8670.0,Real Oviedo,173.0,left,3400496.0
979376,Emam Ashour,Egypt,10255,1998-02-20,attacking midfielder,101745.0,Al Ahly SC,181.0,right,1935194.0
1050160,Sontje Hansen,Curacao,287981,2002-05-18,right winger,8549.0,Middlesbrough,172.0,right,3521355.0
1125997,Shurandy Sambo,Curacao,287981,2001-08-19,right back,8191.0,Burnley,174.0,right,1184484.0
1180735,Arjany Martha,Curacao,287981,2003-09-04,right winger,8119.0,Rotherham United,180.0,left,616278.0
1180784,Jearl Margaritha,Curacao,287981,2000-04-10,left winger,8475.0,SK Beveren,181.0,right,645274.0
1210947,Jeremy Antonisse,Curacao,287981,2002-03-29,left winger,488099.0,Kifisia FC,180.0,right,652084.0
1240833,Tyrick Bodak,Curacao,287981,2002-05-15,keeper,6414.0,Telstar,190.0,right,471386.0
1243246,Livano Comenencia,Curacao,287981,2004-02-03,central midfielder,10243.0,FC Zürich,191.0,right,814218.0
1335315,Deveron Fonville,Curacao,287981,2003-05-16,center back,8464.0,NEC Nijmegen,178.0,left,1069982.0
1439121,Tyrese Noslin,Curacao,287981,2002-09-11,right wing-back,8283.0,Barnsley,182.0,right,974002.0
150242,Eloy Room,Curacao,287981,1989-02-06,keeper,721896.0,Miami FC,189.0,right,66931.0
