overall_rank,player_id,player_name,position,team_name,goals,assists,rating,performance_score,impact_score,cluster,cluster_name
1234,445522,Liam Kelly,Keeper,Rangers,0.0,0.0,0.1728571428571428,0.0864285714285714,0.32,1,Low-Performance Players
1235,873856,Trevor Doornbusch,keeper,VVV-Venlo,0.0,0.0,0.1224489795918367,0.0612244897959183,0.22,1,Low-Performance Players
1236,1807873,Keeto Thermoncy,defender,Young Boys II,0.0,0.0,0.0,0.0,0.0,1,Low-Performance Players
1236,1729681,Danial Eiri,defender,Zob Ahan,0.0,0.0,0.0,0.0,0.0,1,Low-Performance Players
1236,1029597,Avazbek Ulasmaliev,defender,AGMK,0.0,0.0,0.0,0.0,0.0,1,Low-Performance Players
1236,1477517,Sherzod Esanov,midfielder,Buxoro,0.0,0.0,0.0,0.0,0.0,1,Low-Performance Players
1236,1330683,César Samudio,keeper,CD Marathon,0.0,0.0,0.0,0.0,0.0,1,Low-Performance Players
1236,1726288,Mladen Jurkas,Keeper,Borac Banja Luka,0.0,0.0,0.0,0.0,0.0,1,Low-Performance Players
1236,1240833,Tyrick Bodak,keeper,Telstar,0.0,0.0,0.0,0.0,0.0,1,Low-Performance Players
1236,643639,Botirali Ergashev,keeper,AGMK,0.0,0.0,0.0,0.0,0.0,1,Low-Performance Players
