player_id,player_name,is_captain,gender,birth_date,team_id,team_name,on_loan,position,position_key,height,height_unit,weight,weight_unit,nationality,rating,goals,assists,market_value,contract_end,injury,injury_expected_return,goal_assist_total,goal_assist_ratio,performance_score
857436,Nihad Mujakic,False,male,1998-04-15 00:00:00+00:00,281467,Erzurumspor FK,False,Center Back,centerback,189,cm,78,kg,Bosnia and Herzegovina,4.417777777777777,1.0,1.0,1121576.0,,,,2.0,1.0,2.7088888888888887
857661,Martin Zlomislic,False,male,1998-08-16 00:00:00+00:00,7981,Qarabag FK,False,Keeper,keeper_long,190,cm,85,kg,Bosnia and Herzegovina,4.430000000000001,0.0,0.0,,2029-06-30 00:00:00+00:00,,,0.0,,2.2150000000000003
958010,Amar Dedic,False,male,2002-08-18 00:00:00+00:00,9772,Benfica,False,Right Back,rightback,180,cm,73,kg,Bosnia and Herzegovina,6.220338983050848,1.0,5.0,,2030-06-30 00:00:00+00:00,,,6.0,0.2,4.410169491525424
1070712,Josko Gvardiol,False,male,2002-01-23 00:00:00+00:00,8456,Manchester City,False,Center Back,centerback,185,cm,77,kg,Croatia,6.2526315789473665,3.0,4.0,,2028-06-30 00:00:00+00:00,,,7.0,0.75,4.826315789473683
1077684,Ivor Pandur,False,male,2000-03-25 00:00:00+00:00,8548,Rangers,False,Keeper,keeper_long,187,cm,76,kg,Croatia,5.426984126984126,0.0,0.0,,2030-05-31 00:00:00+00:00,,,0.0,,2.713492063492063
1186228,Josip Sutalo,False,male,2000-02-28 00:00:00+00:00,8593,Ajax,False,Center Back,centerback,190,cm,82,kg,Croatia,5.652083333333334,0.0,0.0,,2028-06-30 00:00:00+00:00,,,0.0,,2.826041666666667
1199714,Marco Pasalic,False,male,2000-09-14 00:00:00+00:00,267810,Orlando City,False,Right Midfielder,rightmidfielder,177,cm,69,kg,Croatia,5.640909090909091,6.0,3.0,,2027-12-31 00:00:00+00:00,,,9.0,2.0,5.220454545454546
1210893,Igor Matanovic,False,male,2003-03-31 00:00:00+00:00,8358,Freiburg,False,Striker,striker,194,cm,90,kg,Croatia,5.82295081967213,16.0,4.0,,,,,20.0,4.0,8.511475409836065
1215064,Martin Baturina,False,male,2003-02-16 00:00:00+00:00,10171,Como,False,Left Winger,leftwinger,172,cm,68,kg,Croatia,4.910526315789474,10.0,4.0,,2030-06-30 00:00:00+00:00,,,14.0,2.5,6.255263157894737
1300358,Toni Fruk,False,male,2001-03-09 00:00:00+00:00,10162,Rijeka,False,Attacking Midfielder,centerattackingmidfielder,178,cm,74,kg,Croatia,5.3646153846153855,20.0,4.0,,2027-06-15 00:00:00+00:00,,,24.0,5.0,9.482307692307693
1382000,Petar Sucic,False,male,2003-10-25 00:00:00+00:00,8636,Inter,False,Central Midfielder,centermidfielder,183,cm,75,kg,Croatia,5.605714285714286,5.0,5.0,,2030-06-30 00:00:00+00:00,,,10.0,1.0,5.3028571428571425
1413996,Luka Vuskovic,False,male,2007-02-24 00:00:00+00:00,10204,Brighton & Hove Albion,False,Center Back,centerback,193,cm,85,kg,Croatia,5.307843137254902,7.0,0.0,35441761.0,2031-06-30 00:00:00+00:00,,,7.0,,4.753921568627451
163670,Ivan Perisic,False,male,1989-02-02 00:00:00+00:00,8640,PSV Eindhoven,False,Left Winger,leftwinger,186,cm,81,kg,Croatia,7.15593220338983,13.0,17.0,,2027-06-30 00:00:00+00:00,,,30.0,0.7647058823529411,10.877966101694916
173461,Andrej Kramaric,False,male,1991-06-19 00:00:00+00:00,8226,Hoffenheim,False,Attacking Midfielder,centerattackingmidfielder,177,cm,73,kg,Croatia,6.563461538461538,18.0,8.0,,2028-06-30 00:00:00+00:00,,,26.0,2.25,10.281730769230768
239219,Mateo Kovacic,False,male,1994-05-06 00:00:00+00:00,8456,Manchester City,False,Defensive Midfielder,centerdefensivemidfielder,178,cm,78,kg,Croatia,3.574074074074074,0.0,2.0,,2027-06-30 00:00:00+00:00,,,2.0,0.0,2.187037037037037
251269,Ante Budimir,False,male,1991-07-22 00:00:00+00:00,8371,Osasuna,False,Striker,striker,190,cm,75,kg,Croatia,6.183333333333333,20.0,1.0,,2027-06-30 00:00:00+00:00,,,21.0,20.0,9.291666666666666
31097,Luka Modric,False,male,1985-09-09 00:00:00+00:00,8564,Milan,False,Central Midfielder,centermidfielder,172,cm,66,kg,Croatia,6.589285714285714,3.0,5.0,,,,,8.0,0.6,5.194642857142857
383971,Dominik Livakovic,False,male,1995-01-09 00:00:00+00:00,8695,Fenerbahçe,False,Keeper,keeper_long,188,cm,82,kg,Croatia,3.9362068965517243,0.0,0.0,,2028-06-30 00:00:00+00:00,,,0.0,,1.9681034482758621
446266,Mario Pasalic,False,male,1995-02-09 00:00:00+00:00,8524,Atalanta,False,Defensive Midfielder,centerdefensivemidfielder,186,cm,88,kg,Croatia,5.631428571428572,11.0,6.0,,2028-06-30 00:00:00+00:00,,,17.0,1.8333333333333333,7.315714285714286
557677,Nikola Vlasic,False,male,1997-10-04 00:00:00+00:00,9804,Torino,False,Attacking Midfielder,centerattackingmidfielder,178,cm,72,kg,Croatia,6.5092592592592595,12.0,5.0,,2027-06-30 00:00:00+00:00,,,17.0,2.4,7.854629629629629
557799,Duje Caleta-Car,False,male,1996-09-17 00:00:00+00:00,9748,Lyon,False,Center Back,centerback,186,cm,78,kg,Croatia,4.360714285714286,1.0,0.0,,,,,1.0,,2.4803571428571427
616170,Martin Erlic,False,male,1998-01-24 00:00:00+00:00,8113,FC Midtjylland,False,Center Back,centerback,192,cm,78,kg,Croatia,4.510169491525424,7.0,1.0,,2030-06-30 00:00:00+00:00,,,8.0,7.0,4.555084745762712
641595,Nikola Moro,False,male,1998-03-12 00:00:00+00:00,9857,Bologna,False,Defensive Midfielder,centerdefensivemidfielder,183,cm,77,kg,Croatia,4.668571428571429,2.0,1.0,,2027-06-30 00:00:00+00:00,,,3.0,2.0,3.134285714285715
643448,Kristijan Jakic,False,male,1997-05-14 00:00:00+00:00,8406,Augsburg,False,Defensive Midfielder,centerdefensivemidfielder,181,cm,75,kg,Croatia,5.245652173913044,4.0,1.0,,2028-06-30 00:00:00+00:00,,,5.0,4.0,4.022826086956522
709796,Petar Musa,False,male,1998-03-04 00:00:00+00:00,6399,FC Dallas,False,Striker,striker,190,cm,81,kg,Croatia,6.736111111111111,24.0,4.0,,2027-12-31 00:00:00+00:00,,,28.0,6.0,11.368055555555555
831474,Marin Pongracic,False,male,1997-09-11 00:00:00+00:00,8535,Fiorentina,False,Center Back,centerback,189,cm,95,kg,Croatia,6.023880597014924,1.0,0.0,,2029-06-30 00:00:00+00:00,,,1.0,,3.3119402985074617
873557,Dominik Kotarski,False,male,2000-02-10 00:00:00+00:00,8391,FC København,False,Keeper,keeper_long,186,cm,82,kg,Croatia,5.727419354838709,0.0,1.0,,2030-06-30 00:00:00+00:00,,,1.0,0.0,3.0637096774193546
950824,Josip Stanisic,False,male,2000-04-02 00:00:00+00:00,9823,Bayern München,False,Right Back,rightback,186,cm,79,kg,Croatia,7.0,3.0,9.0,,2029-06-30 00:00:00+00:00,,,12.0,0.3333333333333333,6.2
959597,Luka Sucic,False,male,2002-09-08 00:00:00+00:00,8560,Real Sociedad,False,Attacking Midfielder,centerattackingmidfielder,185,cm,77,kg,Croatia,3.919230769230769,5.0,3.0,,2029-06-30 00:00:00+00:00,,,8.0,1.6666666666666667,4.059615384615384
1001335,Nabil Emad Dunga,False,male,1996-04-06 00:00:00+00:00,1523707,Al Najma,False,Central Midfielder,centermidfielder,179,cm,74,kg,Egypt,4.875675675675676,0.0,1.0,,,,,1.0,0.0,2.637837837837838
1022128,Hamdi Fathy,False,male,1994-09-29 00:00:00+00:00,101901,Al-Wakrah,False,Center Back,centerback,180,cm,80,kg,Egypt,5.389473684210526,2.0,0.0,,2027-06-30 00:00:00+00:00,,,2.0,,3.294736842105263
1179331,Mohamed Abdelmonem,False,male,1999-02-01 00:00:00+00:00,9831,Nice,False,Center Back,centerback,183,cm,75,kg,Egypt,2.375,0.0,0.0,,2028-06-30 00:00:00+00:00,Muscle injury,,0.0,,1.1875
1228546,Mostafa Ahmed Shobeir,False,male,2000-03-17 00:00:00+00:00,101745,Al Ahly SC,False,Keeper,keeper_long,185,cm,77,kg,Egypt,3.8446428571428575,0.0,0.0,,,,,0.0,,1.9223214285714287
1272436,Ibrahim Adel,False,male,2001-04-23 00:00:00+00:00,10202,Nordsjælland,False,Left Winger,leftwinger,178,cm,70,kg,Egypt,3.979545454545455,4.0,1.0,,2029-06-30 00:00:00+00:00,,,5.0,4.0,3.3897727272727276
1291391,Mahmoud Saber,False,male,2001-07-30 00:00:00+00:00,517894,Pyramids FC,False,Central Midfielder,centermidfielder,170,cm,68,kg,Egypt,4.428846153846154,8.0,7.0,,2029-06-30 00:00:00+00:00,,,15.0,1.1428571428571428,6.014423076923077
1384425,Hossam Abdelmaguid,False,male,2001-04-30 00:00:00+00:00,80591,Zamalek SC,False,Center Back,centerback,193,cm,80,kg,Egypt,5.4448275862068956,6.0,0.0,,,,,6.0,,4.522413793103448
1418549,Marwan Ateya,False,male,1998-08-12 00:00:00+00:00,101745,Al Ahly SC,False,Defensive Midfielder,centerdefensivemidfielder,170,cm,77,kg,Egypt,6.5265306122448985,1.0,3.0,,2029-06-30 00:00:00+00:00,,,4.0,0.3333333333333333,4.163265306122449
1426403,Mostafa Ziko,False,male,1997-04-27 00:00:00+00:00,517894,Pyramids FC,False,Left Winger,leftwinger,179,cm,72,kg,Egypt,5.180851063829787,13.0,5.0,,,,,18.0,2.6,7.490425531914894
1689101,Tarek Alaa,False,male,2002-01-05 00:00:00+00:00,517894,Pyramids FC,False,Right Back,rightback,178,cm,72,kg,Egypt,3.7766666666666664,0.0,1.0,,2029-06-30 00:00:00+00:00,,,1.0,0.0,2.0883333333333334
1689371,Mohamed Alaa,False,male,1999-09-01 00:00:00+00:00,178268,El Gouna FC,False,Keeper,keeper_long,188,cm,83,kg,Egypt,5.439473684210527,0.0,0.0,249585.0,2027-06-30 00:00:00+00:00,,,0.0,,2.7197368421052635
1708842,Hamza Abdelkarim,False,male,2008-01-01 00:00:00+00:00,161774,Barca Atletic,False,Striker,striker,182,cm,76,kg,Egypt,1.7142857142857142,2.0,0.0,,,,,2.0,,1.457142857142857
292462,Mohamed Salah,False,male,1992-06-15 00:00:00+00:00,,,,Right Winger,rightwinger,175,cm,79,kg,Egypt,6.275,21.0,13.0,,,,,34.0,1.6153846153846154,12.0375
